track_name,track_id,artist,date_added,release_date,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Halfway Up,5HsJGA8P5fPzR06i9FQKBr,The Brook & The Bluff,2022-09-26T18:58:19Z,2019-10-25,0,235024,0.477,0.511,0,-8.843,1,0.0734,0.638,2.57e-05,0.103,0.488,178.35,4
Emily Ivory,1vWQtPj4wryGSjdzkC4sRj,Guster,2022-10-01T15:29:15Z,2021-06-04,27,264740,0.633,0.804,0,-5.658,1,0.0285,0.0991,1.13e-05,0.196,0.659,105.055,4
Everything Is Just a Mess,61wUA5kA0F88dsakAPSjPg,The Brook & The Bluff,2022-10-05T15:55:25Z,2019-10-25,0,283190,0.81,0.471,3,-10.148,1,0.0496,0.639,0.00303,0.0774,0.525,111.972,4
Shelby,1h1CX2ovWU4EJV3ZwlGf2B,The Brook & The Bluff,2022-10-06T16:04:59Z,2019-10-25,0,222122,0.826,0.513,2,-9.018,1,0.0349,0.327,0.0136,0.13,0.866,122.983,4
Then It All Goes Away,7MzjD4Ayl07w0TRsYSqfCh,Dayglow,2022-10-07T15:33:34Z,2022-10-07,52,183440,0.683,0.817,2,-3.061,1,0.0332,0.0184,2.32e-05,0.0807,0.964,140.019,4
Lovers Rock,4joz6lmlGAIjVvCQdY1G4S,The Brook & The Bluff,2022-10-07T16:49:22Z,2019-10-25,0,289580,0.681,0.462,2,-9.858,1,0.0324,0.749,0.165,0.0986,0.54,72.979,4
Let’s Throw a Party!,6JcuHor8EqySj4BXACdsOJ,Sammy Rae & The Friends,2022-10-09T20:11:28Z,2021-01-22,36,304052,0.462,0.719,0,-7.544,1,0.151,0.11,5.7e-06,0.655,0.358,137.751,4
Everybody Wants to Rule the World,5DcOa9TZCWMeBFl3wP7pSu,Sammy Rae & The Friends,2022-10-09T20:17:51Z,2021-05-28,39,307866,0.388,0.677,5,-6.725,1,0.105,0.0824,3.06e-05,0.239,0.36,110.025,4
All Too Well (Taylor's Version),3nsfB1vus2qaloUdcBZvDu,Taylor Swift,2022-10-12T17:54:11Z,2021-11-12,71,329160,0.44,0.528,0,-7.809,1,0.0317,0.0171,0.00203,0.234,0.132,185.972,4
How Do You Know?,1nokxznuSxhABZtgfp8BW2,Dayglow,2022-10-14T18:23:57Z,2022-10-07,27,171706,0.801,0.776,0,-2.526,1,0.0365,0.0752,4.14e-06,0.166,0.97,120.003,4
CEO of Watching Television,17gWuupmHFGwJurct6ZncA,Ellie Dixon,2022-10-18T20:46:51Z,2022-04-07,24,215786,0.853,0.439,0,-8.255,1,0.161,0.543,0,0.109,0.693,109.862,4
Pastels,4v50THJgMM8eBDEw7HQ3Ij,The Brook & The Bluff,2022-10-18T21:08:38Z,2019-10-25,0,256392,0.458,0.512,2,-11.08,1,0.0551,0.734,0.0184,0.0922,0.365,100.009,4
Deep End,0fQ6684L4dIVf4lvQ6uiFf,Dayglow,2022-10-20T19:58:52Z,2022-10-07,39,218000,0.762,0.86,5,-3.16,1,0.0419,0.0768,0,0.241,0.795,105.016,4
SUPERBLOOM,2HvtedoEeymVWrBPyAMNwZ,MisterWives,2022-10-24T15:26:43Z,2020-07-24,56,213546,0.558,0.889,8,-3.945,1,0.102,0.191,0.000387,0.328,0.716,170.102,4
